"Data.No","SS.No","Type","lambda","gamma","S","Train1.Adj","Train2.Adj","Test1.Adj","Test2.Adj"
1,1,3,1e-07,0.0562341325190349,0.45,-0.043808699,-0.041356442,0.403570495,0.004477896
1,1,3,1e-07,0.0562341325190349,0.46,-0.047354011,-0.044733865,0.406140615,0.000640764
1,1,3,1e-07,0.0562341325190349,0.47,-0.051311287,-0.048484453,0.39093856,-0.004953482
1,1,3,1e-07,0.0562341325190349,0.48,-0.055618551,-0.052570172,0.387607336,-0.00554312
1,1,3,1e-07,0.0562341325190349,0.49,-0.060317102,-0.057050746,0.385029297,-0.008334445
1,1,3,1e-07,0.0562341325190349,0.5,-0.065422027,-0.06186942,0.373375919,-0.015537858
1,1,3,1e-07,0.0562341325190349,0.51,-0.070916429,-0.067074001,0.366034795,-0.009916605
1,1,3,1e-07,0.0562341325190349,0.52,-0.076791659,-0.07270998,0.385889598,-0.019618668
1,1,3,1e-07,0.0562341325190349,0.53,-0.083034016,-0.078760586,0.354299897,-0.01850747
1,1,3,1e-07,0.0562341325190349,0.54,-0.089734205,-0.085169913,0.363074704,-0.032412987
1,1,3,1e-07,0.0562341325190349,0.55,-0.096764758,-0.091980092,-0.02606651,-0.040775848
1,1,3,1e-04,0.0562341325190349,0.45,-0.043824646,-0.041357375,0.406902998,-0.002476554
1,1,3,1e-04,0.0562341325190349,0.46,-0.047331895,-0.044739977,0.403058203,-0.005923884
1,1,3,1e-04,0.0562341325190349,0.47,-0.051274551,-0.048481822,0.403541973,-0.007586053
1,1,3,1e-04,0.0562341325190349,0.48,-0.055617039,-0.052561958,0.198710777,-0.008329563
1,1,3,1e-04,0.0562341325190349,0.49,-0.060334632,-0.057062337,0.39992918,-0.012874017
1,1,3,1e-04,0.0562341325190349,0.5,-0.065465051,-0.061877341,0.277744305,-0.011054282
1,1,3,1e-04,0.0562341325190349,0.51,-0.070928437,-0.067094605,0.370356233,-0.019374094
1,1,3,1e-04,0.0562341325190349,0.52,-0.076793938,-0.072705431,0.36521024,-0.018904208
1,1,3,1e-04,0.0562341325190349,0.53,-0.083037816,-0.07874494,0.364227115,-0.02233168
1,1,3,1e-04,0.0562341325190349,0.54,-0.089725075,-0.085174812,0.365368588,-0.038210407
1,1,3,1e-04,0.0562341325190349,0.55,-0.096739333,-0.091976762,0.354378667,-0.043797234
1,1,3,0.1,0.0562341325190349,0.45,-0.018311399,-0.023461142,0.169420729,0.005925874
1,1,3,0.1,0.0562341325190349,0.46,-0.027705875,-0.027503239,0.082261794,-0.003112662
1,1,3,0.1,0.0562341325190349,0.47,-0.019491164,-0.032920089,0.172779303,-0.007823861
1,1,3,0.1,0.0562341325190349,0.48,-0.036560637,-0.035045053,0.040708505,-0.009510553
1,1,3,0.1,0.0562341325190349,0.49,-0.035972146,-0.041442227,0.106337041,-0.006742671
1,1,3,0.1,0.0562341325190349,0.5,-0.048037643,-0.04371469,0.227056501,-0.016642744
1,1,3,0.1,0.0562341325190349,0.51,-0.051912998,-0.05128801,0.24329594,-0.013507419
1,1,3,0.1,0.0562341325190349,0.52,-0.055582265,-0.058734056,0.364712326,-0.020146098
