"Data.No","SS.No","Type","lambda","gamma","S","Train1.Adj","Train2.Adj","Test1.Adj","Test2.Adj"
1,1,3,1e-07,0.0562341325190349,0.45,-0.0427368016367684,-0.0291279541166459,0.0114822151457599,0.0121161221839545
1,1,3,1e-07,0.0562341325190349,0.46,-0.0453714793914773,-0.0321626561006308,0.00517950017850499,0.016787136302841
1,1,3,1e-07,0.0562341325190349,0.47,-0.0482955332801244,-0.0356111579166704,0.00797423916362171,0.0132373503928031
1,1,3,1e-07,0.0562341325190349,0.48,-0.0515946933283593,-0.0394334661726871,-0.000709215291142024,0.0133605601481608
1,1,3,1e-07,0.0562341325190349,0.49,-0.0552958687245169,-0.043614644797231,0.00363413596638738,0.00753344655013227
1,1,3,1e-07,0.0562341325190349,0.5,-0.0594334099197861,-0.0481656289757668,-0.00755191241473288,-0.00202278613545574
1,1,3,1e-07,0.0562341325190349,0.51,-0.0640211564391294,-0.0530602799333465,-0.00623823495648715,-0.005228197250665
1,1,3,1e-07,0.0562341325190349,0.52,-0.0689878581423408,-0.0583595939287671,-0.00998481562901345,-0.00736501977404212
1,1,3,1e-07,0.0562341325190349,0.53,-0.0744545431772475,-0.064088544140348,-0.0200511628253832,-0.0125536163987264
1,1,3,1e-07,0.0562341325190349,0.54,-0.080255254727832,-0.0702109151219721,-0.0203351897413553,-0.0248025658675389
1,1,3,1e-07,0.0562341325190349,0.55,-0.0864170360449774,-0.0766796232574879,-0.0379175187377138,-0.0329890938438518
1,1,3,1e-04,0.0562341325190349,0.45,-0.0427289807984256,-0.0291289358907981,0.00599930312249092,0.0203986966912654
1,1,3,1e-04,0.0562341325190349,0.46,-0.0453407079723015,-0.0321593398188072,0.0107240258736528,0.0132836694634059
1,1,3,1e-04,0.0562341325190349,0.47,-0.0483047931261021,-0.035607826465766,0.00244319708756327,0.015733185679642
1,1,3,1e-04,0.0562341325190349,0.48,-0.051603336654177,-0.0394386253086862,0.0115146425966151,0.00728874532199474
1,1,3,1e-04,0.0562341325190349,0.49,-0.0552918599097727,-0.0436229538487174,0.00160129638943319,0.00593788020701674
1,1,3,1e-04,0.0562341325190349,0.5,-0.0594277274345857,-0.0481729057944794,-0.0130445935462205,0.00199602238017101
1,1,3,1e-04,0.0562341325190349,0.51,-0.0639911289480147,-0.0530546527075969,-0.00159703938076457,0.000564223900854705
1,1,3,1e-04,0.0562341325190349,0.52,-0.0690006822256228,-0.0583573098558468,-0.0219390140821348,-0.0123801371847074
1,1,3,1e-04,0.0562341325190349,0.53,-0.0744438326169174,-0.0640813128158214,-0.0273446261065874,-0.0146743424270357
1,1,3,1e-04,0.0562341325190349,0.54,-0.0802581875360092,-0.0702175794775909,-0.0172999634952668,-0.0253840076732969
1,1,3,1e-04,0.0562341325190349,0.55,-0.0864057081882964,-0.0766892352738479,-0.0368325397208578,-0.02997872698845
1,1,3,0.1,0.0562341325190349,0.45,-0.0167219722805953,-0.0120926698764505,0.00851540308420982,0.0192078687524468
1,1,3,0.1,0.0562341325190349,0.46,-0.0240922866432926,-0.0134782178572624,0.00574301587684298,0.0167639949328555
1,1,3,0.1,0.0562341325190349,0.47,-0.0222992468149771,-0.019948977419838,-0.00746123291805338,0.0188332487412565
1,1,3,0.1,0.0562341325190349,0.48,-0.0324478692400741,-0.0224887732372992,-0.00285996903205553,0.00664970401506511
