"SS.No","Type","gamma","lambda","Train1.Adj","Train2.Adj","Test1.Adj","Test2.Adj"
1,3,0.01,1e-07,-0.116472281773374,-0.100594258903736,-0.0346658753541816,-0.0223836228005241
2,3,0.01,1e-07,-0.101601987103083,-0.11196278684039,-0.0202862990520247,-0.0314342505800202
3,3,0.01,1e-07,-0.106998015762105,-0.104345833861472,-0.0374040162455898,-0.0185572546688425
4,3,0.01,1e-07,-0.113023197125389,-0.105152768941563,-0.0216722606027937,-0.0243964392181408
5,3,0.01,1e-07,-0.105158952199775,-0.115990301615295,-0.0125036239364079,-0.0326310745293106
6,3,0.01,1e-07,-0.0991917635407704,-0.115632192017811,-0.0325014084320793,-0.0316725912762848
7,3,0.01,1e-07,-0.114159304267558,-0.101483188503616,-0.0418665224575007,-0.0298462396220247
8,3,0.01,1e-07,-0.111947957530337,-0.103835581377688,-0.0243859110483324,-0.0272426393124618
9,3,0.01,1e-07,-0.106686549732998,-0.10854521573319,-0.0319706268683196,-0.0200957076908349
10,3,0.01,1e-07,-0.100565977675267,-0.11442696681642,-0.0188505058939361,-0.0441502615754412
11,3,0.01,1e-07,-0.107195150584313,-0.106119726129894,-0.0245341732388604,-0.0235122329161714
12,3,0.01,1e-07,-0.107251168298285,-0.108256785433188,-0.0265156251025424,-0.0235419947029962
13,3,0.01,1e-07,-0.0993184171332148,-0.118486614738479,-0.0226795154297127,-0.0345583135499619
14,3,0.01,1e-07,-0.0974382726867631,-0.120529202069703,-0.0183530806196275,-0.0346617614341865
15,3,0.01,1e-07,-0.105953269093798,-0.107316473786749,-0.0331923211482722,-0.0387915782204088
16,3,0.01,1e-07,-0.11121193954548,-0.112435740515328,-0.0238432249763012,-0.0241064815204263
17,3,0.01,1e-07,-0.108689790069304,-0.110046668726546,-0.0350242547850862,-0.0110410604853976
18,3,0.01,1e-07,-0.0994956218044683,-0.117314772298997,-0.0218942636094403,-0.0327546966501614
19,3,0.01,1e-07,-0.11762036023127,-0.0951731690569943,-0.0371527887754325,-0.0232669225994528
20,3,0.01,1e-07,-0.122197336704522,-0.110107098920625,-0.0351894407910033,-0.0348555895611345
21,3,0.01,1e-07,-0.0963294099122609,-0.122999499422662,-0.0230096961249854,-0.0454622046392447
22,3,0.01,1e-07,-0.111771722413897,-0.107515772070522,-0.024491049601382,-0.0109724588030009
23,3,0.01,1e-07,-0.115207761784827,-0.0999841102531179,-0.0232694235230844,-0.0259240063458979
