"SS.No","Type","gamma","lambda","Train1.Adj","Train2.Adj","Test1.Adj","Test2.Adj"
1,3,0.01,1e-07,-0.110727287430864,-0.0943435864481805,-0.0257655270781916,-0.0135044410112703
2,3,0.01,1e-07,-0.0953523760607227,-0.105835780550805,-0.0140726685019266,-0.0353278139657956
3,3,0.01,1e-07,-0.100726276521761,-0.0983900249113836,-0.0332741731314451,-0.028967004310257
4,3,0.01,1e-07,-0.106862039128168,-0.098969348356745,-0.0241957897622371,-0.0199069678317162
5,3,0.01,1e-07,-0.099128284852015,-0.110124173491922,-0.0158692055932084,-0.0253143804632485
6,3,0.01,1e-07,-0.0930981619829389,-0.109606723472123,-0.0145142134798708,-0.0250872174342041
7,3,0.01,1e-07,-0.108121994518601,-0.0951461423379626,-0.0250972849184967,-0.0184236591605914
8,3,0.01,1e-07,-0.105857510795336,-0.0974641048170349,-0.0232890277914911,-0.0296817695784146
9,3,0.01,1e-07,-0.100383733069019,-0.102670346884707,-0.0247688208163287,-0.0219545217453486
10,3,0.01,1e-07,-0.0940729199146145,-0.107926434971997,-0.0106017419282708,-0.0224450910212279
11,3,0.01,1e-07,-0.100792875832141,-0.100352760973607,-0.0289996922364463,-0.0160244000675096
12,3,0.01,1e-07,-0.101079967586643,-0.102114253686827,-0.0162893330034063,-0.0249185770303032
13,3,0.01,1e-07,-0.093085710407099,-0.112264136663041,-0.0186035843747444,-0.0241112300572773
14,3,0.01,1e-07,-0.091410968433231,-0.114207369985383,-0.0052400676864845,-0.0254067872863729
15,3,0.01,1e-07,-0.100075267735748,-0.101578173368045,-0.0236102460962309,-0.0203487847716542
16,3,0.01,1e-07,-0.104880233990297,-0.106526581134774,-0.0278448693357863,-0.0234231977288081
17,3,0.01,1e-07,-0.102628547488873,-0.103693209731123,-0.0348823373058302,-0.0211547146398852
18,3,0.01,1e-07,-0.0936844563427778,-0.110932186930249,-0.0142790552757909,-0.0294724507616945
19,3,0.01,1e-07,-0.111647579033626,-0.0890526508936202,-0.0348986471194032,-0.00283292480291402
20,3,0.01,1e-07,-0.116109613035366,-0.103991739090985,-0.0153616581628804,-0.0305616914508606
21,3,0.01,1e-07,-0.0902134566694825,-0.116881126084029,-0.00596076119679637,-0.032720787919347
22,3,0.01,1e-07,-0.105757663145315,-0.101138992789634,-0.0276090596666889,-0.015116881052023
23,3,0.01,1e-07,-0.109338100452225,-0.093673320808448,-0.0139378625183283,-0.0248174697941925
24,3,0.01,1e-07,-0.121476034818255,-0.0949464703656846,-0.0224809509063352,-0.0110851691646633
25,3,0.01,1e-07,-0.109486147437663,-0.0952601523910341,-0.0176646372213831,-0.0235898916002658
26,3,0.01,1e-07,-0.100283031601855,-0.105332399603201,-0.0179996649963943,-0.0348731531150153
27,3,0.01,1e-07,-0.104720264098527,-0.104169655379068,-0.0285822608948696,-0.0232700042626309
28,3,0.01,1e-07,-0.0969139941159575,-0.109315278895677,-0.0212484754143853,-0.0313260041073348
29,3,0.01,1e-07,-0.100537528733501,-0.104133570356473,-0.0222026301394445,-0.0189778307349328
30,3,0.01,1e-07,-0.110643014504898,-0.0917651041702273,-0.039871373369076,-0.0185319231062459
31,3,0.01,1e-07,-0.106448166078802,-0.0973079846160674,-0.0258653540980723,-0.0286868885252189
32,3,0.01,1e-07,-0.110025551754686,-0.0943267000112915,-0.0295103851277884,-0.0188064144661661
