"SS.No","Type","gamma","lambda","Train1.Adj","Train2.Adj","Test1.Adj","Test2.Adj"
1,3,0.01,1e-07,-0.0804529956681179,-0.0618247061852401,0.00465597806022829,0.014990216074982
2,3,0.01,1e-07,-0.0633013397370672,-0.0726547980892768,0.0184677208764125,-0.00297066081989907
3,3,0.01,1e-07,-0.0671211466096054,-0.0674133347231269,0.0079880540878424,0.0141248155709136
4,3,0.01,1e-07,-0.0745366640871672,-0.0673321043201009,0.00939651507716566,0.0112603336369191
5,3,0.01,1e-07,-0.0663806628983181,-0.0787498773850113,0.0264120510262854,-0.00151837579178564
6,3,0.01,1e-07,-0.0608220016726725,-0.0785102983779298,0.0158475491181777,0.00846984124139845
7,3,0.01,1e-07,-0.0752212542255686,-0.063753209282306,0.00899180451513692,0.00780427574031817
8,3,0.01,1e-07,-0.0738213445917694,-0.0626031881245399,0.00748578249979807,0.0175272609130026
9,3,0.01,1e-07,-0.0669911261848068,-0.0721022977243471,0.014590375688516,0.0034788370621837
10,3,0.01,1e-07,-0.0595525489513087,-0.0737004174622114,0.0140325454562767,-0.00964235936396752
11,3,0.01,1e-07,-0.0686067530876459,-0.070098694568616,0.0062724446075744,0.0211959748737958
12,3,0.01,1e-07,-0.0675775611621871,-0.0707538131347348,0.0123959670692636,0.0165143631892035
13,3,0.01,1e-07,-0.0600649752225942,-0.0796039988567048,0.0121428199280401,0.0183828088209309
14,3,0.01,1e-07,-0.0603191799482717,-0.0805393290102548,0.0166042312223381,0.00508792551066433
15,3,0.01,1e-07,-0.068440218355706,-0.0721276795923719,0.0213316409449347,0.00849421579763791
16,3,0.01,1e-07,-0.0714129518998362,-0.0735953949294657,0.0163550392600914,0.0155027199025202
17,3,0.01,1e-07,-0.0711678635294931,-0.0709203858745739,0.0132574385524896,0.0100052837209008
18,3,0.01,1e-07,-0.0628421002637399,-0.076659141573772,0.0253594847179827,0.00435650753848996
19,3,0.01,1e-07,-0.0809206194211148,-0.0566665769256735,0.00861201654578949,0.0154131621096837
20,3,0.01,1e-07,-0.0837874720289807,-0.0719608943243422,0.0266350212174595,0.0024507225229925
21,3,0.01,1e-07,-0.0581558497367074,-0.0853851749866481,0.0178562743750262,0.00640436058733816
22,3,0.01,1e-07,-0.0739504914350605,-0.0680196644232686,-0.000324197698594466,0.0239075886223614
23,3,0.01,1e-07,-0.0778560159179454,-0.0617319231255383,0.0174655195172699,0.0101417191534222
24,3,0.01,1e-07,-0.0881064686965416,-0.0628459357342583,0.0026780766623427,0.0235585306302687
25,3,0.01,1e-07,-0.0775749603562948,-0.0622590907689423,-0.00159516280136857,0.0116630583317724
26,3,0.01,1e-07,-0.0670860739285049,-0.0722016189498863,0.0223499209192084,0.010756752042677
27,3,0.01,1e-07,-0.0724793187203739,-0.0724598591548271,-0.00196693128693604,0.0169955841931506
28,3,0.01,1e-07,-0.0628033226765672,-0.077594020189546,0.00961364476918548,0.00279258367343075
29,3,0.01,1e-07,-0.0684687753523821,-0.0723784154649098,0.0147890775616488,0.0185541368484562
30,3,0.01,1e-07,-0.0787785591997306,-0.0586052449094318,-0.00404278951817874,0.0180452469072303
31,3,0.01,1e-07,-0.073233315046714,-0.0674058751187091,0.00921240859310183,0.00562591993116358
32,3,0.01,1e-07,-0.0773592008255316,-0.0631417878647458,0.00742820668012315,0.0167277092460928
33,3,0.01,1e-07,-0.0708103419958836,-0.0755772048745858,0.00969784900213098,0.0057229738372718
34,3,0.01,1e-07,-0.0608911600854547,-0.0753533001395977,0.0127319704099283,0.00454714603165987
35,3,0.01,1e-07,-0.0738321178770959,-0.0666341085141263,0.00436365418851671,0.0201359935566516
36,3,0.01,1e-07,-0.0588888875778462,-0.0771902473666183,0.0196573278043253,-0.00283149544193675
37,3,0.01,1e-07,-0.0548106123604214,-0.0859434088597634,0.020721256157473,0.00646039459896292
38,3,0.01,1e-07,-0.0686308875613621,-0.0798857438265761,0.0105149632495722,-0.00726542453896211
39,3,0.01,1e-07,-0.0616606513273197,-0.0893918717402889,0.0243120325607158,-0.00266817819781539
40,3,0.01,1e-07,-0.054009247868362,-0.0903681189764424,0.0144948321400602,0.0159727158457454
41,3,0.01,1e-07,-0.0664530043294369,-0.0766499481462306,0.00589150163562802,0.00189305870767014
42,3,0.01,1e-07,-0.0900322969564667,-0.0615294811790861,-0.0072623693589841,0.0268794347127458
43,3,0.01,1e-07,-0.0817622186819576,-0.0592434469536798,0.0121152238217336,0.0203266937014404
44,3,0.01,1e-07,-0.0849149174741416,-0.0595560621804657,-0.00138106163443708,0.0259674893308609
45,3,0.01,1e-07,-0.0718777676263959,-0.0657575709855122,0.0164206919093435,0.00825854325950257
46,3,0.01,1e-07,-0.0713722864413745,-0.0653177292015665,-0.000668036427206065,0.0205219546692405
47,3,0.01,1e-07,-0.0725418040753118,-0.0686929852277508,0.000760682586612764,0.00857441014910565
48,3,0.01,1e-07,-0.064093400303024,-0.074808144344961,0.0168885228756349,0.0211092344962176
49,3,0.01,1e-07,-0.075855708788847,-0.0651393373067004,0.00714471015968881,0.0252543017876929
50,3,0.01,1e-07,-0.0738919175418209,-0.0661381174577768,0.0154196540847716,0.0207394644309742
51,3,0.01,1e-07,-0.0708757338146783,-0.0648292580705993,0.0188603233886401,0.0266789210605915
52,3,0.01,1e-07,-0.0748034461559689,-0.065163021980139,-0.00346724176324949,0.0382374369581528
53,3,0.01,1e-07,-0.0682354273722209,-0.0694986994012944,0.00875345878938195,0.00952887748515305
54,3,0.01,1e-07,-0.0779040095033437,-0.0649095658345461,0.00670350156036881,0.012823721454901
55,3,0.01,1e-07,-0.0703053729784128,-0.0658746398293525,0.0118596114465111,0.0116558988719966
56,3,0.01,1e-07,-0.0629088054407901,-0.073456020140514,0.0185903249356191,0.0125873433169158
57,3,0.01,1e-07,-0.0692259898481558,-0.0685816333584038,0.015867097560145,0.00382181470411568
58,3,0.01,1e-07,-0.0619776014872705,-0.0727770199573064,0.0089777143893297,0.0127684564420367
59,3,0.01,1e-07,-0.078252650381209,-0.0592870259835422,0.0138867736116999,0.0225631856314258
60,3,0.01,1e-07,-0.0711233723411994,-0.0753585772310374,0.0273096830933165,0.0148139154289051
61,3,0.01,1e-07,-0.0737702831105007,-0.0678138943716261,0.00331067817613479,0.0192574112735957
62,3,0.01,1e-07,-0.0602566161786536,-0.091304541645857,0.0186560882295577,0.00952849186775899
63,3,0.01,1e-07,-0.0688770856573951,-0.0687875720714624,0.0179030482681702,0.0160332288209754
64,3,0.01,1e-07,-0.078552466018108,-0.0592563650582506,0.00336344994070494,0.0224617795984976
65,3,0.01,1e-07,-0.0744318091283615,-0.0615125248415861,0.0159417125564322,0.0304174074562664
66,3,0.01,1e-07,-0.07622668496793,-0.0669393331854329,0.0161720712313793,0.0197360636218756
67,3,0.01,1e-07,-0.08023795648517,-0.0619269893452553,0.00467752379660034,0.00920749118496694
68,3,0.01,1e-07,-0.0895078475262273,-0.0580781480885849,0.0207948127212485,0.0221752837935234
69,3,0.01,1e-07,-0.0648020558232231,-0.06728466284426,0.0142269292340655,0.00930651787412803
70,3,0.01,1e-07,-0.0716585419873178,-0.0677766482399418,0.000642584951085539,-1.98050741198958e-05
71,3,0.01,1e-07,-0.0708919298003833,-0.0677025172171906,0.00174666111975148,0.0207149385864548
72,3,0.01,1e-07,-0.0833318896295336,-0.0595476355485812,0.0192017915868529,0.0191068688731841
73,3,0.01,1e-07,-0.0669065305465444,-0.0784129373564333,0.0111497074909756,-0.0025668048923507
74,3,0.01,1e-07,-0.0739073069075644,-0.0614155622343096,0.00708369831379954,0.0106780799089702
75,3,0.01,1e-07,-0.0717879910074731,-0.0674779317842612,0.011548161490887,0.00583727955942947
76,3,0.01,1e-07,-0.0849843484333883,-0.058251639633156,0.00494584725962466,0.00582274221498851
77,3,0.01,1e-07,-0.0711252441590905,-0.0749256300459425,0.0183068680467302,-0.00333683866515791
78,3,0.01,1e-07,-0.0799160548731911,-0.0636400996505469,0.00779067680418803,0.00723548798505009
79,3,0.01,1e-07,-0.0771514558319066,-0.0702589150056603,0.0223768845657203,-0.00368395226986457
80,3,0.01,1e-07,-0.0798793563945451,-0.0540029777947675,0.00161897838342039,0.0231760000942484
81,3,0.01,1e-07,-0.0644701814656343,-0.0842246859251211,0.00798563486437259,0.00658166377977576
82,3,0.01,1e-07,-0.0651976240854581,-0.0703515236575266,0.0174485140808103,0.00936072943242297
83,3,0.01,1e-07,-0.0662488531964998,-0.070726359350914,0.00726007108454743,0.00210672433315942
84,3,0.01,1e-07,-0.0680105342491197,-0.0677767198191823,0.0107275038749283,0.0219336647537454
