"SS.No","Type","gamma","lambda","Train1.Adj","Train2.Adj","Test1.Adj","Test2.Adj"
1,3,0.01,1e-07,-0.10536527720196,-0.0884557950817717,-0.0247716640591117,-0.00657615338792456
2,3,0.01,1e-07,-0.0894484972371461,-0.100084623701155,-0.00369347385632714,-0.0192957192744038
3,3,0.01,1e-07,-0.0949099672903076,-0.0928765046104603,-0.0198828129348321,-0.0143273048052986
4,3,0.01,1e-07,-0.101020979745098,-0.0934836747815232,-0.0121401526461081,-0.0229758787040975
5,3,0.01,1e-07,-0.0933055379344914,-0.104725676073524,-0.0149481699037033,-0.0215663891438178
6,3,0.01,1e-07,-0.0874121017629766,-0.103992468137755,-0.0106442597724498,-0.016632969067378
7,3,0.01,1e-07,-0.102398506517922,-0.089298137167273,-0.0224959200039443,-0.0205315103845474
8,3,0.01,1e-07,-0.0999860616202082,-0.0913346753739463,-0.0238986893008873,-0.00920611019169256
9,3,0.01,1e-07,-0.0945065057209032,-0.0970174639796817,-0.0112698338055665,-0.0163375563896351
10,3,0.01,1e-07,-0.0880626161905983,-0.101839198523365,-0.0132735104093807,-0.0269870836697821
11,3,0.01,1e-07,-0.0949916945138355,-0.0950908509341478,-0.0232948840452076,-0.00914242116683608
12,3,0.01,1e-07,-0.0953157015222303,-0.0963711088055254,-0.0186166303604088,-0.0286556023565114
13,3,0.01,1e-07,-0.0872958689898302,-0.106363718317587,-0.021713750741915,-0.0264796502846645
14,3,0.01,1e-07,-0.085767574135655,-0.108373411759381,-0.0178990480164861,-0.0192703554828
15,3,0.01,1e-07,-0.0945689812845083,-0.0962122897205781,-0.0157134507773621,-0.023167767350096
16,3,0.01,1e-07,-0.0989781563643127,-0.100851742139606,-0.0222495588622224,-0.0181017885656116
17,3,0.01,1e-07,-0.097140343995415,-0.0979219299193526,-0.0304598917651394,-0.0111518652909346
18,3,0.01,1e-07,-0.0883195033797144,-0.104873576149617,-0.00384693589789124,-0.0302821212505472
19,3,0.01,1e-07,-0.106089364531297,-0.083395073525863,-0.0170435795607543,-0.0159583200128386
20,3,0.01,1e-07,-0.110391359782433,-0.0982431040201068,-0.00796847249530151,-0.0237141847641791
