"SS.No","Type","gamma","lambda","Train1.Adj","Train2.Adj","Test1.Adj","Test2.Adj"
1,3,0.01,1e-07,-0.100416150356641,-0.0828908750781129,-0.0152605260378869,-0.00345026984305413
2,3,0.01,1e-07,-0.0840815174690376,-0.0947310830145918,-0.00281735333402726,-0.0177120935185989
3,3,0.01,1e-07,-0.0893247512743627,-0.0877254397470641,-0.0192632348718607,-0.00977406791301592
4,3,0.01,1e-07,-0.0956177435965913,-0.088190436745646,-0.00754334193264237,-0.0152371023781139
5,3,0.01,1e-07,-0.0879876034272308,-0.0995945396708563,-0.00567290271994752,-0.0174502914962014
6,3,0.01,1e-07,-0.0820522855314069,-0.0987853909864265,-0.0166684701414814,-0.013527981403707
7,3,0.01,1e-07,-0.0971314461045541,-0.0837560249734996,-0.0228978349121787,-0.00134073309858456
8,3,0.01,1e-07,-0.0946647154748211,-0.0854636097242081,-0.0115810931955677,-0.0145451765489361
9,3,0.01,1e-07,-0.0890191117557911,-0.0918323904953772,-0.0150447333666455,-0.0178195883129818
10,3,0.01,1e-07,-0.0823302096192496,-0.0962073391594841,-0.000121648496986281,-0.0238559392992795
11,3,0.01,1e-07,-0.0896872582949727,-0.0900707950727603,-0.0147620920556339,-0.00938390654836034
12,3,0.01,1e-07,-0.0898456191555935,-0.0911321337418224,-0.00675797813284047,-0.0140010766784932
13,3,0.01,1e-07,-0.0818172504884295,-0.100993844013648,-0.00913714052545627,-0.0178010423365335
14,3,0.01,1e-07,-0.0806511686864917,-0.10286637939228,-0.00295046096623773,-0.0168135197146683
15,3,0.01,1e-07,-0.089480517329358,-0.0913366526033497,-0.0145676459018368,-0.0183841156458925
16,3,0.01,1e-07,-0.0934976075754598,-0.0955584380085263,-0.00997509116462457,-0.00197333094018972
17,3,0.01,1e-07,-0.091951565583231,-0.0923739609982838,-0.0191848818767104,-0.00982987662051925
18,3,0.01,1e-07,-0.0833036383887655,-0.0992302096133491,-0.00226789162103131,-0.0216687090942276
19,3,0.01,1e-07,-0.100926466747344,-0.0779271510729644,-0.0163196823392509,-0.00432060935906611
20,3,0.01,1e-07,-0.104959488824157,-0.0930359750872525,-0.0101163366654139,-0.0222663193224056
21,3,0.01,1e-07,-0.0793686119624474,-0.106138755449928,-0.00918479704380017,-0.0290560710593909
22,3,0.01,1e-07,-0.0951388875047814,-0.0895480803674759,-0.0150471123208141,-0.00146141712823373
23,3,0.01,1e-07,-0.0987707454304067,-0.0824592556683465,-0.0155313959926191,-0.0162837303654649
24,3,0.01,1e-07,-0.110046488200117,-0.083636619371065,-0.0294707309464783,-0.00742669893039931
25,3,0.01,1e-07,-0.098366638790332,-0.0840905182548252,-0.0335663532829136,-0.0128795587661263
26,3,0.01,1e-07,-0.088724000651191,-0.0942554921522773,-0.00921922655218108,-0.0154916425628339
27,3,0.01,1e-07,-0.0936991024927341,-0.0932654903796473,-0.00755630317150242,-0.0071073428103
28,3,0.01,1e-07,-0.0851966849723356,-0.0983242559391423,-0.0160140846544264,-0.0235151583129234
29,3,0.01,1e-07,-0.0894362994703671,-0.0935378123094366,-0.0162858780818966,-0.00538202996183996
30,3,0.01,1e-07,-0.0998133964931597,-0.0802377601950706,-0.0299927745415453,-0.00542734563471023
31,3,0.01,1e-07,-0.0950214945438078,-0.0868762482918739,-0.0131239146360173,-0.0257876077085237
32,3,0.01,1e-07,-0.0986884453856182,-0.0837329769533964,-0.0139558408843336,-0.0189597535529287
33,3,0.01,1e-07,-0.09175024926963,-0.0967109653312713,-0.0161663134714077,-0.00908375253936211
34,3,0.01,1e-07,-0.0824188196362918,-0.0954443198701925,-0.00630233950781573,-0.0147945007560816
35,3,0.01,1e-07,-0.0942070966945826,-0.0882026932869349,-0.0240719113717019,-0.000463203533383172
36,3,0.01,1e-07,-0.0806302621559575,-0.0987027678869938,-0.00360883110852735,-0.0268494014937633
37,3,0.01,1e-07,-0.0761673776277154,-0.106596971722587,7.93775994144214e-05,-0.016073873889113
38,3,0.01,1e-07,-0.0898523635475098,-0.100852940259714,-0.00923868633197255,-0.0359281679912495
39,3,0.01,1e-07,-0.082942896910766,-0.110436562216981,0.00832003129298103,-0.0357351169945799
40,3,0.01,1e-07,-0.0751006952822909,-0.111712439520119,-0.0028987979078697,-0.0270758137187477
41,3,0.01,1e-07,-0.0874864288850906,-0.0970972952205226,-0.0198994974775607,-0.0107624655111613
42,3,0.01,1e-07,-0.110649427831482,-0.083709123037038,-0.0370987910111129,0.000240863591642252
43,3,0.01,1e-07,-0.102518530960775,-0.0801109319697454,-0.0104805205702677,-0.0144035843256354
